1936,226004,200186
1933,226162,200156
1956,226142,200354
1977,226230,200377
1976,226022,200238
2042,225875,200072
2022,225672,200019
2027,225425,200129
2011,225599,200140
2006,225886,199957
1987,225997,200092
2003,226191,200099
2007,226326,200241
2033,226440,200241
2034,226446,200363
2038,226807,200307
2035,226792,200418
2034,226844,200415
2069,227042,200341
2115,227137,200324
2126,226966,200460
2084,227020,200483
2079,227105,200406
2073,227100,200514
2064,227333,200379
2068,227475,200283
1976,227439,200476
3787,227360,200522
3710,227601,200583
2096,227722,200500
2073,227708,200571
1915,227927,200423
1914,227937,200505
1914,228002,200452
1960,227939,200510
1951,228118,200563
1959,228021,200573
2007,227598,200526
2006,227134,200225
2025,226929,200111
2017,226626,200099
2018,226697,199983
2026,226805,200172
2005,226839,200123
2018,227015,200146
2036,226954,200235
2028,227142,200155
2031,227269,200312
2036,227462,200206
2042,227620,200316
2071,227796,200239
2037,227839,200404
2042,227905,200408
2047,227898,200357
2046,228007,200342
2081,228040,200292
2056,227925,200444
2062,228105,200410
2099,228218,200397
2099,228231,200557
2120,228224,200477
2114,228356,200593
2113,228516,200449
2114,228545,200514
2083,228570,200458
2091,228521,200635
2013,228725,200572
2032,228622,200576
3629,228684,200539
2047,228715,200628
2031,228760,200579
1936,228844,200526
1906,229046,200657
1906,228970,200618
1941,228932,200567
1935,229015,200570
1961,228969,200642
1975,228713,200487
1975,228188,200289
2018,227795,200136
2007,227450,200186
2015,227649,200209
2004,227695,200230
1996,227875,200155
2013,228046,200198
2007,227989,200241
2013,227996,200218
2047,228155,200311
2040,228244,200272
2047,228423,200426
2034,228496,200334
2030,228687,200412
2065,228770,200381
2038,228659,200522
2036,228796,200335
2066,228773,200483
2066,228889,200332
2069,228979,200406
2054,228991,200388
2055,228948,200513
2129,229150,200325
2063,229215,200484
2071,229321,200473
2105,229303,200638
2095,229274,200477
2038,229482,200525
3055,229396,200498
3162,229550,200502
2357,229535,200585
1928,229636,200496
1929,229677,200460
1914,229666,200598
1911,229759,200445
1913,229706,200599
1915,229801,200416
1909,229821,200486
1951,229629,200426
1981,229365,200310
1985,228748,200344
1994,228563,199916
1997,228484,200050
2026,228394,200029
1994,228518,200205
1998,228471,200176
2045,228728,200130
2046,228700,200285
2052,228859,200275
2056,228905,200206
2054,229034,200316
2073,229344,200325
2069,229360,200302
2073,229341,200439
2101,229444,200413
2084,229443,200290
2096,229474,200315
2068,229417,200367
2067,229580,200325
2116,229466,200415
2107,229621,200392
2112,229760,200393
2110,229724,200446
2093,229797,200367
2099,229977,200355
2028,229866,200436
2019,229935,200529
3138,229925,200465
2394,230110,200483
2385,230027,200513
1975,230135,200441
1958,230150,200570
1969,230210,200421
1941,230082,200484
1947,230258,200500
1992,230224,200578
1979,230184,200438
1984,230007,200407
2023,229606,200289
2018,229013,200089
2041,228821,200040
2003,228729,200049
2003,228893,200022
2008,228835,200090
2003,229133,200095
2006,229156,200042
