ECG,RED,IR,PCG
2040,103677,73580,0
2046,103683,73619,0
2036,103686,73577,0
2042,103636,73563,0
2068,103645,73653,0
2064,103702,73581,0
2082,103671,73586,0
2118,103635,73608,0
2120,103694,73636,0
2144,103642,73630,0
2192,103646,73602,0
2230,103709,73593,0
2236,103651,73635,0
2309,103689,73618,0
2376,103648,73576,0
2444,103688,73650,0
2537,103692,73603,0
2632,103656,73620,0
2708,103609,73649,0
2788,103703,73598,0
2880,103714,73590,0
3012,103675,73601,0
3088,103625,73632,0
3205,103645,73623,0
3300,103637,73605,0
3408,103684,73630,0
3520,103638,73605,0
3616,103701,73650,0
3696,103654,73661,0
3772,103708,73635,0
3816,103683,73563,0
3848,103652,73660,0
3848,103703,73651,0
3880,103666,73607,0
3805,103665,73664,0
3778,103719,73611,0
3732,103672,73644,0
3680,103630,73671,0
3624,103713,73610,0
3552,103707,73648,0
3472,103708,73610,0
3418,103684,73625,0
3336,103670,73683,0
3242,103716,73640,0
3148,103709,73618,0
3078,103650,73655,0
2986,103719,73653,0
2908,103685,73678,0
2844,103726,73650,0
2780,103724,73604,0
2710,103681,73670,0
2640,103717,73673,0
2576,103675,73640,0
2512,103727,73640,0
2452,103693,73661,0
2414,103689,73652,0
2352,103719,73702,0
2297,103718,73670,0
2257,103723,73698,0
2208,103723,73639,0
2180,103688,73649,0
2146,103690,73722,0
2132,103736,73680,0
2084,103721,73638,0
2104,103679,73707,0
2036,103744,73708,0
2024,103672,73720,0
1994,103715,73676,0
1984,103740,73664,0
1964,103699,73698,0
1936,103730,73713,0
1913,103684,73642,0
1896,103716,73713,0
1860,103756,73679,0
1841,103707,73707,0
1853,103651,73719,0
1804,103741,73716,0
1791,103725,73718,0
1789,103731,73691,0
1782,103712,73689,0
1816,103699,73763,0
1808,103753,73690,0
1800,103723,73706,0
1808,103812,73781,0
1810,103668,73732,0
1802,103669,73730,0
1829,103764,73713,0
1784,103722,73734,0
1818,103758,73688,0
1810,103716,73762,0
1800,103746,73730,0
1812,103748,73672,0
1812,103730,73744,0
1802,103750,73719,0
1802,103698,73764,0
1800,103685,73755,0
1776,103808,73720,0
1810,103726,73747,0
1816,103692,73769,0
1804,103756,73767,0
1816,103716,73760,0
1816,103755,73727,0
1816,103717,73693,0
1820,103709,73805,0
1818,103732,73748,0
1824,103745,73736,0
1840,103693,73750,0
1796,103780,73735,0
1810,103721,73806,0
1813,103728,73755,0
1802,103759,73720,0
1852,103740,73794,0
1855,103771,73753,0
1865,103729,73730,0
1860,103713,73798,0
1864,103812,73781,0
1848,103745,73759,0
1860,103702,73781,0
1864,103737,73795,0
1866,103761,73739,0
1866,103755,73744,0
1861,103709,73776,0
1876,103790,73807,0
1878,103714,73796,0
1894,103738,73760,0
1894,103782,73778,0
1906,103736,73789,0
1912,103762,73805,0
1910,103738,73732,0
1916,103761,73801,0
1920,103797,73778,0
1929,103726,73826,0
1918,103701,73815,0
1928,103791,73774,0
1930,103763,73808,0
1920,103768,73763,0
1928,103759,73765,0
1917,103724,73846,0
1942,103802,73771,0
1894,103768,73786,0
1907,103686,73781,0
1912,103781,73815,0
1901,103729,73850,0
1950,103773,73794,0
1958,103762,73770,0
1958,103745,73827,0
1888,103770,73827,0
1982,103732,73806,0
1948,103780,73838,0
1972,103746,73828,0
1976,103762,73822,0
1976,103725,73851,0
1968,103746,73797,0
1964,103738,73850,0
1988,103806,73790,0
1953,103740,73874,0
1964,103714,73834,0
1962,103782,73815,0
1965,103756,73839,0
1936,103777,73806,0
1968,103727,73793,0
1968,103747,73869,0
1976,103803,73821,0
1987,103759,73822,0
1984,103726,73843,0
1998,103796,73866,0
1996,103754,73873,0
2008,103823,73823,0
2012,103775,73789,0
1996,103756,73889,0
1972,103784,73871,0
1970,103767,73863,0
1978,103744,73870,0
1980,103816,73827,0
1986,103785,73890,0
2010,103781,73857,0
2012,103766,73818,0
2010,103780,73892,0
2008,103796,73851,0
2020,103789,73868,0
2017,103756,73886,0
2026,103824,73858,0
2030,103772,73839,0
2036,103766,73860,0
2036,103763,73934,0
2052,103816,73865,0
2046,103802,73872,0
2072,103733,73873,0
2046,103823,73883,0
2056,103757,73928,0
2056,103761,73878,0
2047,103826,73889,0
2040,103783,73886,0
2038,103806,73910,0
2040,103755,73889,0
2034,103802,73915,0
2034,103842,73871,0
2029,103786,73886,0
2040,103729,73919,0
2040,103834,73900,0
2045,103809,73907,0
2044,103804,73887,0
2056,103791,73858,0
2016,103782,73938,0
2032,103815,73876,0
2028,103816,73823,0
2032,103767,73910,0
2068,103815,73890,0
2074,103798,73884,0
2046,103731,73920,0
2072,103848,73882,0
2076,103825,73874,0
2072,103796,73901,0
2072,103739,73869,0
2065,103792,73904,0
2068,103810,73875,0
2061,103789,73906,0
2064,103759,73892,0
2061,103783,73881,0
2098,103817,73888,0
2062,103825,73870,0
2066,103790,73814,0
2032,103762,73939,0
2084,103812,73883,0
2084,103798,73885,0
2088,103726,73868,0
2090,103830,73880,0
2090,103772,73919,0
2096,103809,73853,0
2096,103822,73843,0
2084,103784,73863,0
2092,103788,73875,0
2085,103764,73813,0
2082,103793,73918,0
2076,103828,73843,0
2046,103762,73829,0
2040,103725,73897,0
2040,103796,73856,0
2047,103771,73867,0
2072,103741,73829,0
2068,103805,73841,0
2074,103766,73891,0
2073,103786,73849,0
2074,103765,73815,0
2076,103771,73810,0
2080,103780,73832,0
2047,103707,73852,0
2088,103787,73847,0
2052,103755,73868,0
2080,103804,73815,0
2080,103757,73860,0
2076,103697,73826,0
2070,103807,73808,0
2101,103764,73830,0
2060,103770,73789,0
2072,103737,73803,0
2060,103727,73858,0
2072,103802,73794,0
2072,103760,73774,0
2040,103701,73825,0
2072,103774,73829,0
2080,103737,73828,0
2076,103749,73788,0
2100,103765,73771,0
2092,103727,73819,0
2106,103747,73800,0
2104,103736,73733,0
2084,103757,73810,0
2077,103748,73770,0
2096,103740,73762,0
2074,103705,73831,0
2128,103792,73776,0
2084,103734,73793,0
2100,103666,73764,0
2098,103766,73775,0
2096,103701,73787,0
2098,103743,73760,0
2100,103741,73742,0
2096,103741,73773,0
2096,103702,73787,0
2096,103687,73784,0
2100,103760,73743,0
2100,103715,73738,0
2108,103664,73766,0
2104,103757,73776,0
2108,103711,73780,0
2106,103754,73731,0
2104,103727,73722,0
2104,103697,73794,0
2108,103712,73752,0
2098,103716,73700,0
2106,103711,73783,0
2100,103743,73724,0
2094,103689,73774,0
2090,103635,73756,0
2090,103779,73741,0
2064,103707,73743,0
2106,103702,73736,0
2098,103703,73725,0
2069,103683,73787,0
2074,103754,73734,0
2080,103695,73727,0
2088,103646,73771,0
2100,103748,73738,0
2105,103687,73763,0
2112,103721,73721,0
2112,103726,73707,0
2114,103697,73743,0
2112,103714,73775,0
2089,103690,73730,0
2090,103716,73731,0
2084,103706,73731,0
2080,103646,73762,0
2080,103704,73748,0
2090,103704,73758,0
2080,103712,73738,0
2082,103678,73690,0
2086,103683,73824,0
2088,103707,73728,0
2088,103711,73729,0
2092,103642,73744,0
2096,103730,73740,0
2114,103679,73773,0
2112,103678,73731,0
2120,103715,73714,0
2116,103674,73760,0
2120,103703,73766,0
2117,103660,73780,0
2122,103639,73749,0
2116,103752,73747,0
2124,103680,73761,0
2080,103718,73755,0
2084,103680,73743,0
2080,103720,73757,0
2080,103713,73736,0
2112,103682,73738,0
2102,103634,73810,0
2104,103718,73752,0
2112,103717,73778,0
2110,103664,73747,0
2112,103688,73806,0
2108,103692,73777,0
2112,103687,73767,0
2124,103697,73772,0
2128,103683,73781,0
2128,103729,73770,0
2132,103663,73726,0
2130,103701,73808,0
2128,103741,73739,0
2132,103684,73754,0
2128,103631,73795,0
2132,103717,73762,0
2136,103718,73790,0
2132,103685,73758,0
2122,103714,73751,0
2121,103695,73818,0
2124,103703,73766,0
2128,103711,73725,0
2108,103663,73789,0
2132,103738,73771,0
2132,103674,73802,0
2144,103686,73756,0
2136,103732,73754,0
2114,103691,73789,0
2120,103706,73785,0
2124,103696,73742,0
2130,103696,73821,0
2152,103753,73769,0
2144,103671,73769,0
2152,103643,73801,0
2150,103674,73802,0
2140,103724,73778,0
2136,103657,73771,0
2132,103698,73789,0
2122,103695,73836,0
2116,103688,73775,0
2124,103721,73754,0
2128,103699,73796,0
2116,103720,73769,0
2128,103689,73758,0
2128,103685,73815,0
2126,103744,73751,0
2136,103669,73759,0
2134,103619,73798,0
2132,103725,73779,0
2128,103700,73784,0
2126,103674,73753,0
2124,103713,73728,0
2128,103666,73815,0
2116,103709,73755,0
2120,103717,73760,0
2116,103706,73800,0
2108,103705,73770,0
2120,103675,73756,0
2084,103671,73821,0
2088,103750,73768,0
2094,103700,73782,0
2093,103634,73793,0
2128,103734,73802,0
2134,103697,73797,0
2136,103736,73773,0
2153,103695,73737,0
2156,103674,73802,0
2186,103704,73779,0
2148,103648,73784,0
2129,103717,73742,0
2156,103691,73806,0
2160,103655,73847,0
2157,103721,73800,0
2152,103712,73815,0
2152,103725,73782,0
2138,103697,73752,0
2140,103677,73859,0
2144,103717,73797,0
2140,103719,73769,0
2130,103672,73835,0
2133,103733,73800,0
2136,103685,73836,0
2100,103666,73794,0
2140,103754,73808,0
2140,103690,73818,0
2138,103699,73822,0
2145,103669,73768,0
2152,103684,73846,0
2160,103760,73793,0
2146,103674,73796,0
2118,103654,73846,0
2130,103726,73799,0
2120,103706,73818,0
2104,103703,73789,0
2141,103721,73817,0
2108,103683,73860,0
2122,103718,73793,0
2122,103711,73760,0
2121,103693,73775,0
2128,103705,73826,0
2136,103652,73846,0
2148,103723,73810,0
2138,103723,73795,0
2144,103662,73836,0
2144,103735,73839,0
2158,103681,73840,0
2126,103680,73813,0
2164,103749,73793,0
2160,103679,73834,0
2165,103706,73828,0
2168,103680,73781,0
2160,103705,73867,0
2160,103717,73810,0
2156,103700,73758,0
2156,103682,73859,0
2148,103726,73813,0
2148,103690,73831,0
2154,103644,73819,0
2144,103729,73832,0
2130,103672,73868,0
