ECG,RED,IR,PCG
2300,108838,75421,0
2302,108838,75421,0
2303,108838,75421,0
2298,108838,75421,0
2256,108838,75475,0
2298,108815,75443,0
2312,108815,75443,0
2314,108815,75443,0
2322,108815,75443,0
2352,108815,75443,0
2356,108815,75443,0
2332,108815,75511,0
2336,108802,75455,0
2324,108802,75455,0
2344,108802,75455,0
2338,108802,75455,0
2340,108802,75455,0
2332,108802,75455,0
2300,108802,75455,0
2325,108804,75424,0
2312,108804,75424,0
2332,108804,75424,0
2720,108804,75424,0
2314,108804,75424,0
2432,108804,75424,0
2320,108804,75424,0
2322,108807,75491,0
2348,108807,75491,0
2345,108807,75491,0
2352,108807,75491,0
2960,108857,75472,0
2913,108788,75480,0
2312,108753,75494,0
2312,108841,75461,0
2308,108798,75517,0
2300,108860,75477,0
2301,108796,75511,0
2312,108821,75484,0
2320,108820,75452,0
2344,108800,75527,0
2348,108845,75481,0
2384,108814,75515,0
2432,108823,75489,0
2448,108800,75494,0
2480,108760,75490,0
2514,108839,75491,0
2560,108819,75525,0
2598,108857,75490,0
2656,108802,75515,0
2676,108817,75504,0
2728,108814,75453,0
2768,108803,75539,0
2816,108849,75512,0
2884,108805,75528,0
2908,108847,75492,0
3082,108833,75489,0
2912,108756,75522,0
3025,108856,75505,0
2988,108822,75536,0
3028,108848,75509,0
3072,108810,75529,0
2986,108782,75508,0
2960,108845,75589,0
2913,108869,75540,0
2047,108825,75503,0
2060,108774,75539,0
2088,108847,75542,0
2096,108818,75608,0
2096,108866,75559,0
2104,108817,75585,0
2108,108851,75561,0
2112,108830,75528,0
2128,108839,75601,0
2113,108873,75563,0
2138,108816,75586,0
2124,108864,75556,0
2145,108829,75548,0
2144,108790,75574,0
2160,108855,75563,0
2166,108817,75614,0
2181,108861,75571,0
2178,108821,75547,0
2192,108776,75568,0
2240,108868,75557,0
2192,108825,75605,0
2208,108835,75567,0
2244,108835,75585,0
2209,108812,75562,0
2216,108828,75595,0
2209,108828,75574,0
2228,108816,75569,0
2228,108816,75569,0
2228,108816,75569,0
2224,108816,75569,0
2226,108816,75569,0
2216,108816,75569,0
2244,108816,75569,0
2240,108825,75571,0
2256,108825,75571,0
2244,108825,75571,0
2264,108825,75571,0
2256,108825,75571,0
2264,108825,75571,0
2258,108825,75571,0
2277,108852,75548,0
2274,108852,75548,0
2300,108852,75548,0
2280,108852,75548,0
2281,108852,75548,0
2284,108852,75548,0
2330,108852,75548,0
2324,108852,75581,0
2312,108841,75551,0
2364,108841,75551,0
2322,108841,75551,0
2472,108841,75551,0
2346,108841,75551,0
2330,108841,75551,0
2336,108841,75551,0
2356,108817,75604,0
2288,108820,75644,0
2330,108814,75642,0
2368,108859,75617,0
2361,108815,75578,0
2344,108779,75664,0
2346,108884,75629,0
2328,108815,75662,0
2340,108850,75631,0
2328,108811,75650,0
2336,108766,75640,0
2324,108863,75617,0
2328,108824,75659,0
2316,108875,75616,0
2312,108831,75660,0
2308,108820,75640,0
2288,108829,75613,0
2296,108821,75677,0
2308,108888,75639,0
2304,108814,75678,0
2304,108866,75644,0
2320,108828,75604,0
2320,108805,75689,0
2312,108885,75641,0
2328,108838,75676,0
2320,108864,75646,0
2304,108844,75625,0
2266,108790,75682,0
2272,108823,75641,0
2258,108823,75641,0
2282,108823,75641,0
2284,108823,75641,0
2276,108839,75671,0
2284,108839,75671,0
2288,108839,75671,0
2424,108839,75671,0
2296,108839,75671,0
2308,108839,75671,0
2304,108839,75671,0
2296,108839,75656,0
2336,108855,75648,0
2312,108855,75648,0
2308,108855,75648,0
2312,108855,75648,0
2308,108855,75648,0
2358,108855,75648,0
2316,108855,75657,0
2316,108826,75640,0
2296,108826,75640,0
2328,108826,75640,0
2324,108826,75640,0
2370,108826,75640,0
2362,108826,75640,0
2360,108826,75640,0
2356,108841,75652,0
2368,108841,75652,0
2376,108841,75652,0
2370,108841,75652,0
2368,108841,75652,0
2376,108841,75652,0
2324,108783,75540,0
2308,108746,75549,0
2356,108711,75554,0
2360,108787,75527,0
2372,108742,75557,0
2356,108773,75507,0
2346,108734,75542,0
2348,108723,75507,0
2352,108761,75490,0
2354,108739,75541,0
2344,108765,75520,0
2340,108736,75507,0
2344,108674,75493,0
2328,108732,75468,0
2330,108712,75543,0
2338,108752,75476,0
2320,108718,75502,0
2320,108731,75478,0
2328,108712,75433,0
2292,108692,75513,0
2309,108765,75463,0
2297,108705,75497,0
2304,108726,75466,0
2316,108702,75407,0
2316,108684,75480,0
2292,108748,75441,0
2252,108700,75481,0
2294,108716,75444,0
2264,108692,75368,0
2258,108694,75424,0
2248,108694,75424,0
2258,108694,75424,0
2252,108694,75424,0
2236,108694,75424,0
2249,108694,75424,0
2253,108706,75447,0
2256,108706,75447,0
2260,108706,75447,0
2261,108706,75447,0
2258,108706,75447,0
2280,108706,75447,0
2248,108706,75447,0
2248,108706,75319,0
2244,108700,75469,0
2244,108700,75469,0
2242,108700,75469,0
2244,108700,75469,0
2238,108700,75469,0
2246,108700,75469,0
2240,108700,75389,0
2286,108688,75477,0
2282,108688,75477,0
2274,108688,75477,0
2264,108688,75477,0
2294,108688,75477,0
2292,108688,75477,0
2280,108688,75477,0
2324,108718,75442,0
2328,108718,75442,0
2321,108718,75442,0
2312,108698,75359,0
2262,108641,75393,0
2284,108655,75362,0
2308,108632,75339,0
2280,108584,75382,0
2273,108657,75356,0
2262,108629,75408,0
2296,108639,75351,0
2258,108629,75365,0
2256,108615,75359,0
2258,108630,75321,0
2260,108619,75418,0
2276,108650,75364,0
2264,108632,75395,0
2272,108644,75359,0
2272,108637,75325,0
2284,108592,75390,0
2280,108662,75350,0
2274,108614,75413,0
2272,108654,75355,0
2276,108610,75386,0
2276,108611,75359,0
2274,108636,75318,0
2337,108601,75407,0
2260,108664,75359,0
2262,108632,75375,0
2264,108653,75346,0
2268,108617,75346,0
2264,108575,75364,0
2360,108671,75340,0
2288,108612,75404,0
2288,108653,75354,0
2312,108600,75370,0
2262,108661,75343,0
2281,108650,75326,0
2272,108689,75380,0
2304,108647,75409,0
2316,108655,75386,0
2314,108638,75379,0
2313,108600,75374,0
2304,108659,75372,0
2296,108631,75407,0
2344,108670,75383,0
2281,108632,75407,0
2272,108645,75375,0
2277,108645,75342,0
2264,108628,75419,0
2280,108671,75373,0
2280,108646,75405,0
2280,108649,75355,0
2288,108637,75336,0
2280,108616,75436,0
2272,108690,75381,0
2280,108638,75400,0
2266,108676,75382,0
2272,108642,75362,0
2272,108578,75393,0
2272,108694,75372,0
2224,108615,75387,0
2232,108615,75387,0
2228,108615,75413,0
2220,108645,75345,0
2212,108645,75345,0
2224,108645,75345,0
2229,108645,75345,0
2228,108645,75345,0
2232,108645,75345,0
2270,108645,75419,0
2236,108641,75440,0
2234,108641,75440,0
2256,108641,75440,0
2228,108641,75440,0
2248,108641,75440,0
2248,108641,75440,0
2258,108641,75440,0
2264,108667,75375,0
2268,108667,75375,0
