ECG,IR,PCG
30,37231,0
3224,37253,0
3280,37247,0
3248,37249,0
3208,37239,0
3124,37211,0
3012,37215,0
2896,37240,0
2760,37230,0
2640,37230,0
2536,37265,0
2476,37261,0
2444,37218,0
2466,37232,0
2525,37228,0
2580,37231,0
2680,37273,0
2736,37260,0
2832,37234,0
2868,37244,0
2920,37236,0
2888,37242,0
2832,37265,0
2784,37253,0
2656,37244,0
2512,37245,0
2362,37246,0
2236,37271,0
2089,37265,0
2002,37240,0
1980,37248,0
2027,37245,0
2160,37252,0
2314,37276,0
2512,37277,0
2704,37249,0
2920,37258,0
3114,37273,0
3276,37278,0
3376,37251,0
3424,37272,0
3404,37258,0
3324,37255,0
3184,37250,0
3016,37242,0
2796,37269,0
2607,37278,0
2376,37245,0
2224,37254,0
2068,37255,0
2016,37251,0
1996,37270,0
2085,37296,0
2132,37274,0
2268,37263,0
2428,37265,0
2616,37257,0
2780,37261,0
2908,37286,0
2994,37264,0
3016,37268,0
3009,37270,0
2946,37259,0
2892,37282,0
2824,37291,0
2714,37252,0
2616,37255,0
2472,37284,0
2392,37285,0
2338,37282,0
2336,37276,0
2378,37278,0
2440,37264,0
2548,37261,0
2672,37303,0
2815,37299,0
2932,37253,0
3048,37272,0
3168,37263,0
3192,37263,0
3224,37295,0
3136,37266,0
3064,37265,0
2896,37262,0
2752,37259,0
2538,37270,0
2340,37293,0
2168,37271,0
2065,37258,0
1960,37264,0
1940,37271,0
1964,37297,0
2024,37285,0
2155,37244,0
2328,37264,0
2548,37259,0
2800,37260,0
3024,37288,0
3232,37285,0
3340,37270,0
3424,37282,0
3448,37286,0
3396,37281,0
3280,37276,0
3108,37289,0
2906,37260,0
2690,37272,0
2472,37273,0
2302,37282,0
2168,37306,0
2111,37298,0
2080,37252,0
2157,37286,0
2240,37276,0
2392,37277,0
2532,37312,0
2728,37289,0
2860,37281,0
2992,37277,0
3070,37280,0
3152,37307,0
3108,37306,0
3020,37262,0
2898,37278,0
2672,37273,0
2496,37274,0
2322,37311,0
2178,37303,0
2120,37286,0
2096,37286,0
2134,37284,0
2212,37293,0
2356,37294,0
2544,37298,0
2737,37285,0
2938,37310,0
3128,37274,0
3288,37269,0
3384,37305,0
3596,37301,0
3434,37265,0
3354,37283,0
3238,37274,0
3032,37276,0
2848,37302,0
2556,37295,0
2340,37279,0
2112,37277,0
1954,37286,0
1832,37287,0
1800,37313,0
1828,37301,0
1946,37291,0
2102,37282,0
2304,37280,0
2528,37315,0
2704,37324,0
2915,37267,0
3080,37293,0
3224,37285,0
3344,37294,0
3384,37318,0
3348,37321,0
3212,37318,0
3080,37327,0
2904,37310,0
2716,37323,0
2529,37321,0
2370,37327,0
2264,37292,0
2218,37308,0
2208,37303,0
2289,37318,0
2392,37338,0
2576,37307,0
2728,37301,0
2944,37305,0
3064,37302,0
3208,37340,0
3260,37337,0
3320,37292,0
3240,37297,0
3120,37309,0
2968,37302,0
2800,37323,0
2580,37320,0
2353,37297,0
2154,37316,0
1988,37307,0
1914,37308,0
1922,37333,0
2006,37329,0
2180,37292,0
2420,37311,0
2681,37304,0
2932,37330,0
3196,37336,0
3418,37333,0
3588,37330,0
3688,37324,0
3704,37317,0
3644,37314,0
3512,37333,0
3304,37326,0
3064,37308,0
2792,37313,0
2519,37309,0
2302,37329,0
2114,37338,0
1976,37326,0
1952,37307,0
1968,37308,0
2080,37313,0
2224,37308,0
2424,37342,0
2632,37296,0
2880,37294,0
3057,37297,0
3200,37279,0
3288,37322,0
3268,37313,0
3228,37262,0
3121,37276,0
2980,37269,0
2848,37265,0
2664,37287,0
2498,37284,0
2336,37263,0
2240,37233,0
2196,37266,0
2208,37264,0
2280,37276,0
2388,37223,0
2544,37222,0
2709,37221,0
2892,37223,0
3052,37238,0
3192,37195,0
3291,37190,0
3300,37191,0
3304,37180,0
3156,37209,0
3024,37197,0
2784,37149,0
2560,37162,0
2282,37139,0
2046,37146,0
1832,37171,0
1676,37167,0
1600,37123,0
1588,37134,0
1636,37110,0
1746,37104,0
1928,37136,0
2136,37127,0
2372,37077,0
2648,37092,0
2884,37089,0
3073,37075,0
3152,37107,0
3204,37053,0
3168,37052,0
3060,37077,0
2872,37059,0
2644,37054,0
2380,37042,0
2136,37070,0
1900,37059,0
1722,37015,0
1604,37024,0
1560,37023,0
1589,37022,0
1696,37037,0
1836,37027,0
2016,36994,0
2188,36993,0
2400,36989,0
2538,36998,0
2648,37009,0
2696,36984,0
2724,36969,0
2634,36960,0
2498,36965,0
2292,36976,0
2050,36977,0
1821,36958,0
1616,36948,0
1465,36944,0
1388,36941,0
1390,36943,0
1594,36872,0
1788,36907,0
2012,36913,0
2248,36896,0
2472,36904,0
2676,36911,0
2828,36897,0
2962,36909,0
2968,36926,0
2912,36932,0
2800,36883,0
2616,36891,0
2372,36889,0
2132,36892,0
1828,36911,0
1592,36884,0
1386,36891,0
1250,36879,0
1178,36883,0
1176,36894,0
1258,36910,0
1408,36868,0
1596,36880,0
1808,36877,0
2040,36879,0
2224,36901,0
2406,36884,0
2529,36878,0
2638,36876,0
2704,36873,0
2688,36878,0
2602,36899,0
2440,36872,0
2268,36856,0
2084,36864,0
1905,36861,0
1744,36871,0
1626,36850,0
1564,36864,0
1552,36862,0
1640,36873,0
1737,36888,0
1884,36886,0
2063,36846,0
2228,36856,0
2424,36851,0
2532,36856,0
2624,36884,0
2628,36879,0
2612,36861,0
2488,36861,0
2316,36859,0
2100,36864,0
1884,36889,0
1652,36881,0
1437,36865,0
1275,36859,0
1160,36866,0
1166,36876,0
1196,36885,0
1328,36859,0
1552,36855,0
1824,36853,0
2108,36869,0
2356,36866,0
2612,36865,0
