ECG,IR,PCG
2528,37888,0
2408,37905,0
2260,37918,0
2122,37890,0
1984,37899,0
1884,37911,0
1796,37899,0
1744,37911,0
1736,37873,0
1762,37893,0
1840,37917,0
1964,37894,0
2073,37913,0
2232,37877,0
2328,37908,0
2464,37899,0
2498,37888,0
2580,37910,0
2554,37885,0
2521,37911,0
2436,37871,0
2360,37887,0
2204,37909,0
2048,37897,0
1893,37916,0
1760,37887,0
1665,37900,0
1632,37908,0
1595,37892,0
1629,37921,0
1748,37904,0
1909,37912,0
2052,37904,0
2244,37889,0
2436,37918,0
2620,37926,0
2784,37922,0
2914,37905,0
3009,37925,0
3032,37881,0
3080,37892,0
3024,37925,0
2936,37895,0
2855,37922,0
2728,37884,0
2680,37904,0
2552,37915,0
2540,37896,0
2508,37923,0
2572,37902,0
2604,37925,0
2696,37883,0
2848,37894,0
2994,37918,0
3104,37901,0
3170,37912,0
3242,37899,0
3220,37908,0
3180,37910,0
3112,37892,0
2954,37929,0
2820,37905,0
2698,37923,0
2380,37916,0
2284,37934,0
2240,37907,0
2216,37903,0
2232,37884,0
2288,37933,0
2386,37913,0
2530,37904,0
2648,37911,0
2786,37900,0
2904,37925,0
3011,37910,0
3056,37925,0
3120,37892,0
3060,37910,0
3058,37926,0
2904,37909,0
2752,37926,0
2568,37891,0
2416,37903,0
2352,37925,0
2189,37905,0
2100,37919,0
2060,37907,0
2052,37918,0
2104,37903,0
2168,37909,0
2288,37928,0
2424,37907,0
2564,37923,0
2704,37888,0
2788,37907,0
2788,37916,0
2814,37910,0
2800,37921,0
2736,37915,0
2648,37907,0
2504,37909,0
2352,37928,0
2224,37896,0
2128,37908,0
2016,37922,0
1936,37914,0
1922,37929,0
1932,37918,0
2024,37915,0
2104,37895,0
2264,37901,0
2384,37926,0
2584,37910,0
2644,37926,0
2744,37899,0
2800,37910,0
2880,37939,0
2868,37915,0
2816,37927,0
2696,37900,0
2569,37913,0
2426,37905,0
2248,37902,0
2120,37919,0
2030,37916,0
2004,37934,0
1965,37893,0
1948,37909,0
2008,37905,0
2144,37905,0
2266,37900,0
2408,37903,0
2538,37922,0
2664,37909,0
2768,37930,0
2824,37907,0
2852,37917,0
2840,37892,0
2799,37901,0
2676,37916,0
2578,37907,0
2392,37926,0
2281,37902,0
2156,37905,0
2056,37906,0
1976,37905,0
1940,37927,0
1960,37915,0
2056,37922,0
2153,37887,0
2297,37892,0
2442,37933,0
2584,37902,0
2680,37928,0
2773,37911,0
2832,37915,0
2872,37905,0
2912,37901,0
2833,37929,0
2676,37898,0
2544,37927,0
2404,37911,0
2266,37894,0
2144,37925,0
2056,37927,0
2004,37918,0
1980,37921,0
2000,37890,0
2056,37902,0
2156,37930,0
2312,37902,0
2436,37929,0
2616,37902,0
2700,37918,0
2824,37915,0
2844,37901,0
2900,37934,0
2848,37910,0
2778,37930,0
2674,37892,0
2584,37910,0
2442,37923,0
2304,37907,0
2188,37947,0
2096,37901,0
2028,37922,0
2008,37937,0
2021,37907,0
2069,37936,0
2256,37920,0
2404,37927,0
2480,37917,0
2624,37925,0
2740,37923,0
2824,37905,0
2912,37942,0
2932,37909,0
2896,37931,0
2816,37920,0
2714,37936,0
2580,37902,0
2444,37912,0
2290,37941,0
2160,37921,0
2108,37940,0
2028,37914,0
2032,37934,0
2046,37912,0
2136,37909,0
2236,37921,0
2412,37923,0
2520,37936,0
2708,37904,0
2824,37920,0
2921,37933,0
2976,37924,0
2992,37943,0
2928,37913,0
2852,37918,0
2732,37937,0
2625,37915,0
2520,37934,0
2340,37906,0
2185,37917,0
2108,37927,0
2058,37935,0
2040,37910,0
2068,37935,0
2144,37935,0
2268,37901,0
2400,37929,0
2544,37901,0
2680,37910,0
2788,37939,0
2879,37920,0
2948,37944,0
2976,37917,0
2888,37915,0
2856,37928,0
2708,37909,0
2600,37930,0
2440,37908,0
2308,37922,0
2232,37883,0
2156,37915,0
2120,37929,0
2118,37908,0
2153,37926,0
2240,37899,0
2344,37910,0
2496,37918,0
2641,37904,0
2800,37921,0
2936,37910,0
3028,37925,0
3000,37897,0
3009,37910,0
2976,37893,0
2898,37901,0
2768,37897,0
2640,37896,0
2472,37917,0
2332,37870,0
2218,37890,0
2136,37915,0
2096,37874,0
2088,37907,0
2116,37883,0
2225,37896,0
2352,37871,0
2532,37875,0
2636,37899,0
2776,37880,0
2864,37894,0
2952,37871,0
2996,37877,0
3072,37883,0
3028,37871,0
