ECG,IR,PCG
2624,34637,0
1928,34609,0
1292,34624,0
752,34626,0
384,34615,0
201,34601,0
279,34596,0
562,34606,0
1042,34609,0
1684,34579,0
2384,34584,0
3104,34553,0
3760,34591,0
4064,34566,0
4076,34571,0
4064,34547,0
4052,34586,0
3984,34551,0
3680,34559,0
3120,34528,0
2544,34563,0
1832,34546,0
1178,34537,0
651,34522,0
291,34541,0
146,34545,0
246,34522,0
574,34525,0
1072,34504,0
1744,34545,0
2442,34519,0
3200,34512,0
3808,34505,0
4064,34532,0
4060,34530,0
4064,34517,0
4056,34502,0
3944,34484,0
3576,34515,0
3028,34513,0
2386,34495,0
1712,34490,0
1082,34507,0
576,34511,0
251,34491,0
140,34497,0
258,34472,0
598,34509,0
1120,34472,0
1776,34491,0
2488,34476,0
3200,34514,0
3928,34497,0
4095,34484,0
4095,34467,0
4095,34496,0
4095,34487,0
3968,34465,0
3560,34483,0
2976,34501,0
2308,34504,0
1638,34477,0
1007,34483,0
220,34513,0
140,34483,0
268,34505,0
636,34492,0
1180,34502,0
1844,34509,0
2562,34485,0
3316,34491,0
3912,34463,0
4064,34504,0
4056,34484,0
4064,34485,0
4048,34470,0
3896,34512,0
3448,34511,0
2880,34487,0
2200,34483,0
1538,34512,0
953,34505,0
460,34490,0
172,34496,0
112,34496,0
300,34521,0
677,34508,0
1251,34498,0
1944,34492,0
2689,34516,0
3402,34499,0
4004,34506,0
4088,34476,0
4094,34526,0
4095,34499,0
4032,34513,0
3836,34526,0
3376,34495,0
2792,34511,0
2120,34505,0
1440,34507,0
844,34507,0
386,34494,0
132,34523,0
97,34508,0
297,34505,0
708,34498,0
1281,34523,0
1968,34525,0
2700,34507,0
3400,34515,0
3992,34511,0
4064,34528,0
4056,34510,0
4048,34527,0
4095,34490,0
3840,34532,0
3360,34516,0
2737,34514,0
2064,34490,0
1373,34543,0
774,34521,0
350,34520,0
104,34510,0
119,34541,0
336,34544,0
760,34513,0
1368,34564,0
2060,34536,0
2800,34516,0
3504,34544,0
4072,34529,0
4064,34551,0
4072,34520,0
4064,34523,0
4024,34519,0
3744,34544,0
3288,34530,0
2632,34535,0
1960,34512,0
1268,34550,0
692,34534,0
288,34531,0
82,34525,0
96,34565,0
352,34543,0
810,34533,0
1416,34545,0
2129,34560,0
2890,34571,0
3584,34540,0
4095,34551,0
4095,34552,0
4095,34562,0
