ECG,IR,PCG
2116,38355,0
2152,38375,0
2176,38358,0
2208,38361,0
2224,38375,0
2224,38359,0
2232,38374,0
2242,38354,0
2204,38352,0
2170,38357,0
2136,38365,0
2104,38352,0
2066,38341,0
2034,38376,0
2006,38344,0
2001,38334,0
1991,38361,0
1996,38342,0
2008,38338,0
2034,38358,0
2064,38348,0
2080,38345,0
2128,38355,0
2148,38331,0
2168,38331,0
2176,38361,0
2180,38339,0
2176,38334,0
2154,38352,0
2128,38323,0
2088,38332,0
2062,38348,0
2032,38329,0
2004,38323,0
1968,38341,0
1952,38340,0
1954,38315,0
1964,38325,0
1976,38318,0
2004,38310,0
2036,38320,0
2060,38323,0
2084,38314,0
2120,38296,0
2140,38337,0
2152,38303,0
2160,38303,0
2144,38327,0
2152,38305,0
2108,38315,0
2080,38324,0
2032,38307,0
2000,38311,0
1982,38333,0
1948,38313,0
1938,38310,0
1944,38301,0
1944,38329,0
1974,38316,0
2000,38286,0
2035,38329,0
2073,38302,0
2098,38291,0
2150,38341,0
2160,38304,0
2168,38307,0
2176,38326,0
2166,38313,0
2146,38298,0
2122,38315,0
2108,38320,0
2056,38303,0
2028,38323,0
2000,38328,0
1976,38329,0
1964,38337,0
1952,38317,0
1976,38300,0
1982,38348,0
2012,38315,0
2044,38293,0
2068,38342,0
2124,38316,0
2128,38305,0
2160,38340,0
2156,38311,0
2160,38308,0
2154,38329,0
2136,38316,0
2112,38309,0
2098,38331,0
2058,38318,0
2020,38322,0
2004,38340,0
1976,38320,0
1964,38316,0
1961,38342,0
1972,38334,0
1988,38315,0
2016,38330,0
2048,38332,0
2088,38329,0
2114,38331,0
2136,38322,0
2152,38332,0
2180,38340,0
2174,38351,0
2168,38326,0
2136,38316,0
2110,38340,0
2092,38319,0
2044,38331,0
2017,38350,0
1984,38322,0
1964,38335,0
1964,38356,0
1964,38334,0
1976,38343,0
2004,38346,0
2032,38355,0
2064,38334,0
2104,38331,0
2140,38363,0
2157,38332,0
2198,38312,0
2198,38358,0
2210,38334,0
2212,38327,0
2176,38354,0
2149,38335,0
2112,38336,0
2088,38373,0
2052,38337,0
2012,38355,0
1994,38341,0
1984,38319,0
1980,38336,0
1988,38319,0
2021,38361,0
2047,38334,0
2082,38319,0
2112,38353,0
2152,38324,0
2180,38309,0
2227,38358,0
2212,38328,0
2216,38323,0
2202,38350,0
2188,38322,0
2164,38313,0
2152,38359,0
2076,38329,0
2044,38328,0
2002,38353,0
1979,38320,0
1990,38330,0
1968,38340,0
1984,38319,0
2004,38320,0
2046,38346,0
2066,38323,0
2104,38316,0
2144,38339,0
2170,38327,0
2197,38324,0
2200,38325,0
2204,38321,0
2200,38340,0
2184,38342,0
2168,38318,0
2134,38319,0
2092,38327,0
2060,38334,0
2028,38320,0
2002,38318,0
1996,38347,0
2004,38319,0
1996,38320,0
2020,38348,0
2044,38330,0
2076,38310,0
2106,38341,0
2138,38322,0
2164,38314,0
2184,38348,0
2204,38322,0
2212,38320,0
2204,38356,0
2176,38326,0
2152,38332,0
2128,38340,0
2096,38327,0
2066,38332,0
2040,38360,0
2024,38336,0
2010,38328,0
2012,38351,0
2021,38326,0
2038,38329,0
2064,38349,0
2096,38321,0
2112,38334,0
2148,38365,0
2168,38334,0
2184,38349,0
2192,38359,0
2197,38365,0
2188,38338,0
2170,38324,0
2132,38368,0
2113,38340,0
2076,38324,0
2040,38373,0
2024,38357,0
2004,38329,0
1996,38373,0
2000,38352,0
2020,38341,0
2048,38373,0
2070,38351,0
2104,38354,0
2136,38376,0
2178,38354,0
2216,38345,0
2208,38377,0
2212,38351,0
2212,38349,0
2192,38368,0
2169,38343,0
2138,38357,0
2100,38360,0
2056,38338,0
2028,38353,0
2004,38377,0
1980,38349,0
1980,38348,0
1994,38375,0
2020,38365,0
2032,38348,0
2056,38350,0
2086,38369,0
2120,38347,0
2164,38328,0
2174,38379,0
2192,38351,0
2200,38322,0
2200,38376,0
2184,38340,0
2168,38327,0
2140,38371,0
2112,38348,0
2075,38332,0
2060,38371,0
2025,38345,0
2012,38330,0
2006,38366,0
2006,38337,0
2030,38353,0
2056,38364,0
2074,38333,0
2132,38336,0
2164,38340,0
2178,38345,0
2194,38330,0
2208,38356,0
2202,38362,0
2188,38343,0
2162,38341,0
2128,38361,0
2092,38338,0
2069,38340,0
2044,38371,0
2009,38338,0
2016,38353,0
2000,38361,0
2020,38344,0
2021,38340,0
2046,38355,0
2072,38357,0
2106,38338,0
2138,38324,0
2168,38365,0
2192,38341,0
2212,38317,0
2220,38360,0
2210,38333,0
2220,38320,0
2172,38351,0
2146,38324,0
2112,38332,0
2080,38351,0
2056,38326,0
2020,38336,0
2008,38332,0
2004,38333,0
2004,38325,0
2024,38353,0
2047,38327,0
2068,38327,0
2100,38341,0
2138,38346,0
2168,38322,0
2186,38330,0
2206,38349,0
2204,38329,0
2217,38319,0
2194,38359,0
2160,38319,0
2144,38312,0
2104,38353,0
2080,38327,0
2040,38311,0
2024,38345,0
2008,38323,0
2000,38319,0
2012,38359,0
2048,38328,0
2056,38324,0
2112,38361,0
2120,38332,0
2148,38312,0
2176,38353,0
2196,38334,0
2208,38328,0
2204,38336,0
2200,38354,0
2192,38348,0
2164,38329,0
2132,38328,0
2104,38317,0
2056,38351,0
2042,38337,0
2024,38343,0
2008,38347,0
2002,38337,0
2045,38338,0
2032,38362,0
2048,38343,0
2080,38339,0
2112,38359,0
2136,38334,0
2168,38343,0
2184,38362,0
2200,38336,0
2208,38349,0
2212,38365,0
2188,38360,0
2160,38341,0
2138,38360,0
2096,38369,0
2081,38345,0
2034,38334,0
2014,38370,0
2012,38350,0
2001,38333,0
1990,38369,0
2032,38350,0
2040,38351,0
2072,38350,0
2101,38354,0
2144,38359,0
2160,38370,0
2184,38352,0
2210,38331,0
2208,38370,0
2197,38350,0
2184,38337,0
2168,38369,0
2136,38348,0
2104,38343,0
2076,38372,0
2056,38349,0
2018,38341,0
2012,38369,0
2008,38335,0
2012,38350,0
2036,38372,0
2058,38348,0
2093,38345,0
2132,38360,0
2160,38370,0
2177,38350,0
2212,38351,0
2238,38375,0
2236,38340,0
2232,38345,0
2212,38377,0
2192,38351,0
2152,38343,0
2112,38359,0
2092,38358,0
2056,38344,0
2046,38337,0
2044,38349,0
2044,38370,0
2064,38348,0
2100,38345,0
2132,38369,0
2180,38354,0
2216,38329,0
2260,38341,0
2304,38360,0
2324,38337,0
2344,38324,0
2344,38366,0
2360,38340,0
2324,38323,0
2312,38363,0
2266,38349,0
2240,38339,0
2208,38360,0
2169,38340,0
2140,38340,0
2121,38363,0
2114,38342,0
2124,38343,0
2124,38357,0
2144,38341,0
2164,38346,0
2194,38368,0
2216,38339,0
2226,38346,0
2248,38350,0
2249,38340,0
2248,38347,0
2244,38360,0
2228,38337,0
2192,38340,0
2160,38357,0
2122,38342,0
2096,38346,0
2075,38361,0
2040,38345,0
2040,38348,0
2024,38361,0
2032,38343,0
2044,38348,0
2068,38365,0
2088,38342,0
2122,38344,0
2140,38366,0
2176,38345,0
2194,38343,0
2202,38350,0
2192,38364,0
2185,38339,0
2168,38331,0
2149,38368,0
2116,38342,0
2088,38323,0
2048,38364,0
2052,38334,0
2008,38343,0
2000,38353,0
2004,38360,0
2016,38332,0
2036,38346,0
2047,38352,0
2088,38335,0
2138,38366,0
2132,38341,0
2156,38341,0
2176,38364,0
2187,38336,0
2180,38346,0
2180,38371,0
2164,38341,0
2144,38356,0
2104,38372,0
2080,38360,0
2040,38361,0
2020,38375,0
2000,38369,0
1994,38356,0
2005,38355,0
2013,38391,0
2036,38357,0
2066,38343,0
2114,38376,0
2130,38361,0
2156,38358,0
2192,38382,0
2214,38360,0
2216,38348,0
2212,38368,0
2200,38358,0
2184,38379,0
2152,38359,0
2120,38366,0
2086,38372,0
2036,38362,0
2008,38398,0
1972,38370,0
1970,38354,0
1956,38399,0
1961,38369,0
1976,38361,0
2008,38403,0
2040,38364,0
2068,38366,0
2106,38394,0
2144,38382,0
2180,38374,0
2180,38397,0
2188,38372,0
2194,38379,0
2176,38393,0
2161,38376,0
2152,38373,0
2144,38390,0
2184,38396,0
2184,38380,0
2216,38359,0
2276,38396,0
2354,38376,0
2432,38349,0
2512,38358,0
2604,38383,0
