RED,IR
26191,30009
26183,30001
26182,30000
26183,29999
26183,30006
26184,30006
26183,30005
26182,29997
26188,29995
26174,30007
26185,30011
26182,29989
26185,29986
26156,29978
26158,29953
26152,29924
26131,29913
26138,29889
26128,29877
26123,29858
26123,29852
26120,29849
26116,29850
26115,29840
26112,29846
26117,29849
26123,29855
26121,29869
26128,29868
26123,29878
26123,29892
26127,29877
26127,29894
26134,29892
26142,29894
26140,29897
26138,29902
26137,29914
26143,29916
26139,29917
26144,29936
26147,29927
26165,29934
26144,29958
26163,29933
26154,29959
26154,29952
26160,29958
26167,29943
26152,29971
26166,29963
26166,29959
26165,29957
26159,29979
26167,29978
26170,29976
26154,29988
26180,29972
26162,29994
26174,29990
26167,30009
26183,29996
26179,29994
26171,30014
26195,30006
26175,30025
26182,30016
26184,30026
26186,30025
26175,30028
26189,30043
26193,30025
26181,30037
26185,30045
26195,30037
26197,30023
26185,30049
26179,30043
26187,30053
26193,30045
26193,30047
26195,30034
26189,30033
26188,30058
26192,30045
26188,30040
26185,30066
26192,30038
26196,30044
26191,30072
26195,30060
26193,30062
26198,30052
26193,30076
26194,30077
26198,30067
26181,30084
26195,30071
26191,30076
26202,30069
26195,30099
26186,30096
26205,30075
26186,30087
26193,30083
26187,30040
26171,30050
26162,30024
26178,29991
26152,30003
26160,29995
26160,29987
26159,29970
26151,29998
26152,29989
26159,29996
26161,30012
26152,30014
26175,30001
26180,30015
26164,30034
26175,30030
26176,30013
26168,30039
26174,30033
26172,30017
26177,30044
26182,30032
26177,30052
26176,30055
26195,30096
26210,30112
26240,30161
26255,30207
26275,30227
26294,30236
26285,30267
26294,30281
26306,30273
26302,30282
26296,30298
26306,30300
26307,30302
26298,30307
26307,30314
26316,30296
26303,30319
26310,30318
26310,30323
26307,30329
26314,30328
26317,30323
26320,30315
26308,30329
26313,30335
26316,30322
26299,30324
26312,30325
26312,30320
26309,30321
26300,30327
26300,30323
26298,30322
26297,30320
26295,30322
26296,30317
26296,30312
26286,30323
26298,30317
26295,30314
26292,30320
26295,30314
26293,30307
26289,30318
26292,30310
26292,30318
26291,30317
26292,30315
26292,30314
26287,30316
26292,30319
26287,30319
26282,30322
26293,30326
26291,30328
26291,30332
26293,30323
26292,30332
26278,30339
26288,30333
26285,30325
26278,30327
26279,30317
26269,30297
26261,30289
26260,30265
26256,30252
26247,30241
26247,30236
26242,30232
26243,30235
26249,30232
26244,30235
26251,30252
26252,30242
26258,30252
26251,30261
26256,30261
26253,30268
26258,30265
26257,30266
26256,30261
26257,30270
26260,30265
26248,30260
26255,30268
26252,30264
26259,30278
26258,30274
26255,30276
26261,30286
26259,30279
26259,30288
26261,30284
26257,30290
26260,30278
26253,30280
26254,30287
26257,30281
26254,30275
26248,30276
26252,30283
26253,30285
26259,30279
26254,30285
26249,30281
26253,30297
26259,30285
26256,30294
26258,30291
26258,30291
26254,30291
26257,30302
26259,30305
26259,30308
26272,30313
26272,30319
26258,30305
26257,30306
26261,30311
26259,30314
26263,30314
26256,30317
26258,30312
26261,30320
26260,30315
26256,30321
26255,30319
26256,30322
26259,30316
26257,30318
26259,30324
26258,30324
26259,30321
26260,30331
26258,30334
26257,30331
26262,30335
26260,30336
26261,30339
26265,30340
26265,30338
26262,30339
26263,30334
26257,30335
26254,30333
26253,30312
26240,30297
26233,30282
26234,30273
26227,30255
26219,30244
26221,30247
26221,30245
26218,30238
26223,30253
26226,30261
26226,30263
26222,30265
26236,30279
26236,30283
26235,30279
26231,30281
26237,30283
26237,30281
26233,30274
26229,30277
26224,30279
26232,30272
26228,30275
26228,30284
26233,30283
26230,30288
26232,30294
26238,30295
26234,30294
26227,30290
26230,30299
26233,30287
26220,30293
26225,30292
26230,30288
26226,30284
26225,30289
26222,30291
26220,30291
26232,30290
26228,30288
26224,30293
26227,30297
26223,30299
26228,30302
26229,30294
26219,30304
26232,30302
26223,30310
26225,30298
26230,30306
26227,30306
26222,30310
26229,30310
26230,30310
26224,30310
26227,30314
26224,30312
26230,30312
26232,30318
26230,30318
26222,30317
26227,30314
26230,30321
26220,30318
26222,30319
26230,30322
26217,30318
26229,30324
26226,30323
26229,30328
26216,30329
26230,30328
26226,30332
26232,30331
26230,30340
26230,30333
26232,30336
26230,30338
26225,30338
26233,30343
26222,30322
26223,30304
26213,30295
26201,30274
26201,30263
26187,30253
26186,30249
26186,30243
26189,30243
26186,30251
26195,30253
26193,30255
26194,30253
26199,30273
26195,30273
26202,30276
26197,30278
26205,30275
26194,30281
26202,30272
26196,30281
26194,30273
26194,30271
26194,30276
26191,30276
26200,30281
26201,30284
26201,30288
26200,30291
26201,30293
26198,30292
26195,30295
26201,30287
26194,30290
26188,30289
26203,30290
26193,30283
26191,30283
26197,30289
26188,30289
26191,30289
26188,30287
26191,30294
26191,30290
26193,30289
26195,30295
26191,30297
26198,30301
26196,30299
26193,30299
26197,30295
26197,30302
26193,30298
26188,30297
26200,30305
26188,30309
26200,30306
26192,30304
26196,30307
26189,30305
26190,30308
26193,30315
26198,30310
26199,30312
26191,30320
26196,30321
26193,30315
26192,30312
26192,30318
26197,30319
26185,30326
26190,30325
26199,30318
26195,30320
26183,30321
26199,30322
26188,30324
26196,30327
26193,30328
26194,30335
26191,30337
26201,30337
26198,30337
26196,30344
26197,30335
26198,30330
26192,30339
26192,30320
26173,30307
26176,30288
26164,30271
26159,30251
26156,30253
26153,30245
26155,30243
26156,30238
26153,30245
26158,30251
26159,30255
26161,30258
26166,30267
26167,30270
26159,30273
26170,30277
26164,30270
26163,30271
26159,30268
26163,30271
26165,30262
26161,30268
26164,30270
26160,30273
26161,30276
26164,30279
26169,30277
26167,30285
26166,30289
26168,30287
26170,30287
26161,30290
26162,30285
26164,30275
26162,30283
26158,30278
26164,30286
26160,30277
26166,30277
26162,30283
26157,30282
26163,30281
26162,30289
26164,30286
26161,30288
26161,30293
26162,30285
26162,30290
26160,30296
26158,30290
26165,30290
26156,30295
26161,30294
26155,30296
26159,30301
26163,30298
26163,30296
26157,30296
26161,30295
26157,30302
26156,30306
26161,30299
26156,30310
26158,30305
26163,30308
26155,30306
26160,30308
26160,30300
26157,30307
26155,30313
26161,30306
26157,30314
26164,30313
26162,30309
26154,30318
26162,30324
26163,30315
26160,30321
26159,30325
26155,30328
26159,30320
26161,30329
26159,30331
26156,30328
26154,30331
26160,30331
26157,30339
26157,30322
26157,30318
26150,30315
26144,30288
26139,30274
26128,30256
26126,30244
26123,30236
26110,30234
26118,30233
26116,30235
26121,30238
26118,30236
26125,30244
26126,30251
26122,30255
26130,30258
26126,30259
26128,30258
26133,30258
26125,30261
26128,30262
26125,30253
26124,30254
26123,30253
26121,30257
26126,30252
26124,30261
26130,30268
26127,30269
26123,30266
26127,30267
26128,30265
26124,30261
26127,30263
26125,30264
26120,30263
26117,30264
26121,30255
26123,30260
26114,30261
26119,30255
26117,30264
26120,30272
26118,30263
26121,30268
26117,30266
26128,30267
26116,30266
26116,30271
26121,30269
26122,30272
26122,30267
26122,30265
26122,30276
26119,30274
26120,30271
26118,30277
26116,30277
26121,30285
26125,30276
26125,30278
26122,30283
26117,30280
26116,30284
26120,30289
26123,30282
26118,30286
26121,30286
26125,30287
26116,30288
26122,30287
26123,30295
26118,30294
26122,30288
26129,30294
26119,30287
26120,30293
26118,30294
26119,30290
26120,30295
26121,30302
26122,30295
26127,30299
26124,30301
26121,30298
26121,30301
26123,30305
26114,30310
26125,30306
26122,30308
26124,30313
26122,30306
26128,30306
26111,30296
26112,30274
26102,30263
26089,30249
26091,30227
26073,30215
26081,30210
26075,30204
26079,30196
26077,30200
26077,30203
26082,30201
26080,30216
26082,30215
26080,30218
26083,30222
26085,30225
26075,30225
26085,30216
26084,30222
26078,30224
26084,30219
26073,30222
26084,30215
26079,30219
26078,30220
26085,30234
26083,30227
26081,30230
26084,30228
26082,30234
26078,30233
26087,30232
26080,30222
26076,30229
26075,30226
26080,30217
26072,30221
26076,30222
26080,30226
26074,30219
26081,30219
26073,30226
26079,30216
26083,30223
26080,30222
26087,30228
26079,30234
26079,30225
26080,30226
26074,30227
26078,30233
26074,30235
26077,30232
26080,30236
26077,30233
26079,30231
26080,30239
26076,30229
26080,30233
26077,30235
26081,30236
26079,30233
26081,30242
26078,30236
26083,30242
26075,30237
26084,30243
26074,30240
26077,30243
26078,30253
26077,30245
26081,30250
26079,30244
26080,30249
26079,30245
26085,30252
26081,30241
26082,30257
26083,30251
26081,30258
26086,30252
26081,30252
26085,30259
26081,30264
26085,30258
26085,30266
26085,30269
26083,30268
26087,30272
26085,30267
26090,30271
26085,30262
26081,30249
26076,30235
26065,30218
26058,30193
26056,30185
26044,30177
26047,30166
26039,30159
26048,30155
26044,30161
26049,30164
26054,30169
26049,30170
26054,30178
26055,30181
26058,30184
26054,30186
26060,30186
26056,30176
26057,30187
26053,30177
26056,30186
26050,30176
26054,30181
26055,30180
26052,30182
26054,30182
26056,30190
26056,30186
26058,30189
26053,30188
26056,30194
26057,30180
26056,30186
26050,30188
26061,30181
26049,30186
26054,30180
26049,30184
26054,30180
26049,30182
26052,30180
26052,30185
26052,30177
26056,30194
26047,30187
26053,30193
26050,30189
26061,30190
26055,30193
26056,30189
26051,30190
26064,30196
26054,30197
26060,30198
26055,30194
26056,30194
26061,30204
26060,30197
26053,30200
26059,30206
26059,30201
26060,30210
26065,30209
26064,30204
26066,30210
26063,30211
26068,30217
26060,30209
26070,30219
26064,30217
26065,30215
26070,30218
26065,30216
26070,30218
26069,30224
26068,30225
26071,30222
26069,30228
26075,30226
26067,30223
26075,30237
26074,30236
26072,30233
26078,30233
26076,30237
26080,30247
26081,30246
26083,30244
26077,30243
26084,30251
26086,30245
26075,30246
26077,30234
26073,30220
26057,30206
26064,30183
26053,30165
26042,30155
26044,30148
26043,30130
26036,30131
26039,30130
26040,30133
26040,30134
26044,30149
26046,30150
26047,30147
26050,30151
26051,30157
26053,30162
26051,30153
26047,30151
26051,30163
26058,30152
26053,30148
26054,30154
26045,30144
26054,30155
26054,30151
26054,30154
26056,30167
26058,30168
26054,30161
26058,30169
26054,30159
26054,30168
26055,30162
26054,30160
26056,30159
26054,30163
26057,30150
26055,30158
26061,30160
26058,30154
26055,30163
26063,30163
26057,30153
26060,30169
26063,30168
26061,30163
26064,30168
26061,30166
26063,30180
26064,30165
26062,30176
26068,30179
26065,30170
26063,30178
26071,30177
26059,30183
26071,30174
26065,30181
26074,30182
26071,30184
26070,30189
26076,30186
26070,30190
26078,30188
26070,30188
26074,30197
26072,30191
26074,30189
26072,30193
26076,30205
26077,30200
26074,30203
26078,30208
26079,30206
26078,30211
26083,30211
26083,30218
26085,30218
26088,30216
26082,30215
26088,30223
26086,30218
26082,30219
26090,30226
26085,30226
26088,30230
26090,30230
26094,30231
26083,30234
26096,30240
26092,30234
26093,30247
26090,30232
26099,30243
26093,30239
26091,30239
26088,30217
26078,30204
26077,30190
26064,30161
26058,30147
26055,30135
26043,30119
26048,30121
26048,30108
26044,30112
26054,30123
26055,30122
26052,30125
26056,30136
26059,30132
26059,30142
26062,30138
26056,30141
26061,30137
26056,30131
26062,30139
26056,30126
26056,30130
26057,30134
26059,30124
26050,30131
26063,30133
26054,30133
26062,30147
26062,30138
26056,30143
26065,30145
26057,30140
26065,30147
26064,30138
26058,30136
26065,30140
26058,30139
26063,30138
26059,30132
26060,30137
26054,30138
26062,30138
26054,30139
26063,30138
26059,30136
26064,30138
26061,30141
26065,30149
26061,30141
26062,30146
26066,30142
26063,30143
26065,30158
26067,30151
26064,30149
26071,30158
26069,30152
26062,30161
26072,30159
26064,30152
26067,30168
26073,30163
26069,30157
26073,30162
26069,30164
26069,30168
26072,30172
26075,30160
26067,30166
26077,30177
26077,30165
26072,30167
26078,30170
26070,30177
26068,30180
26072,30180
26078,30182
26072,30175
26076,30190
26079,30179
26082,30180
26075,30186
26082,30189
26079,30189
26084,30188
26078,30192
26090,30199
26084,30192
26083,30203
26090,30204
26086,30196
26085,30211
26088,30205
26080,30207
26090,30208
26079,30207
26081,30190
26070,30175
26070,30154
26061,30135
26054,30123
26049,30109
26048,30090
26045,30085
26048,30081
26041,30085
26046,30085
26044,30092
26052,30094
26044,30099
26050,30109
26044,30111
26055,30109
26048,30114
26052,30113
26055,30110
26052,30105
26054,30108
26054,30106
26054,30102
26047,30102
26057,30112
26058,30109
26054,30113
26061,30118
26059,30117
26059,30117
26064,30120
26061,30112
26055,30119
26062,30112
26054,30108
26053,30117
26054,30113
26056,30108
26055,30120
26056,30114
26056,30115
26055,30116
26060,30124
26058,30118
26063,30123
26061,30119
26060,30127
26064,30125
26064,30126
26066,30128
26062,30128
26062,30132
26065,30139
26061,30131
26068,30133
26065,30134
26067,30141
26063,30135
26071,30146
26072,30145
26068,30145
26075,30145
26070,30149
26070,30151
26070,30153
26075,30156
26068,30155
26078,30153
26065,30161
26081,30164
26075,30160
26083,30170
26084,30167
26077,30164
26076,30171
26083,30164
26076,30168
26087,30177
26082,30172
26086,30182
26086,30180
26079,30183
26080,30180
26087,30189
26079,30190
26090,30194
26089,30194
26090,30192
26091,30192
26091,30206
26094,30198
26083,30188
26080,30180
26077,30154
26068,30147
26065,30123
26062,30106
26051,30091
26047,30079
26053,30074
26037,30079
26048,30074
26040,30083
26051,30087
26047,30082
26052,30101
26059,30095
26054,30105
26060,30104
26055,30103
26060,30097
26058,30108
26064,30100
26053,30092
26059,30096
26056,30089
26060,30103
26058,30096
26061,30112
26063,30106
26060,30102
26060,30115
26063,30112
26062,30111
26063,30109
26062,30110
26062,30112
26065,30101
26066,30105
26065,30114
26065,30105
26058,30102
26066,30115
26065,30104
26062,30109
26063,30112
26056,30112
26070,30118
26066,30109
26067,30127
26071,30112
26070,30128
26070,30120
26073,30132
26072,30126
26071,30129
26072,30131
26075,30137
26078,30138
26070,30128
26083,30145
26073,30141
26072,30144
26085,30141
26076,30140
26078,30151
26086,30153
26075,30141
26085,30155
26078,30149
26082,30163
26087,30157
26077,30158
26088,30168
26092,30168
26086,30163
26090,30173
26092,30173
26086,30174
26097,30172
26083,30173
26092,30187
26093,30179
26090,30179
26094,30189
26097,30188
26097,30189
26096,30194
26093,30196
26104,30208
26101,30192
26092,30200
26107,30203
26102,30207
26106,30206
26112,30208
26098,30200
26091,30186
26086,30162
26081,30146
26071,30127
26068,30112
26063,30091
26058,30082
26052,30074
26055,30078
26060,30071
26055,30077
26059,30080
26063,30079
26070,30095
26066,30097
26064,30095
26061,30096
26072,30102
26066,30098
26064,30104
26072,30098
26075,30093
26063,30093
26063,30093
26067,30092
26069,30093
26065,30094
26071,30102
26079,30105
26069,30103
26077,30111
26072,30109
26072,30102
26072,30110
26074,30101
26068,30096
26074,30101
26073,30096
26061,30100
26079,30109
26071,30099
26068,30096
26074,30106
26075,30098
26070,30107
26080,30102
26069,30103
26077,30116
26078,30111
26071,30109
26076,30117
26080,30113
26073,30116
26082,30120
26072,30118
26079,30126
26089,30125
26078,30128
26085,30134
26084,30128
26078,30128
26082,30132
26081,30138
26089,30140
26086,30133
26085,30140
26087,30142
26092,30145
26082,30140
26086,30150
26093,30145
26083,30146
26095,30149
26084,30146
26097,30156
26090,30153
26092,30159
26093,30157
26096,30157
26100,30166
26094,30163
26092,30171
26101,30172
26095,30166
26094,30170
26101,30180
26096,30175
26101,30186
26102,30173
26109,30187
26100,30180
26101,30187
26094,30170
26088,30151
26084,30139
26081,30114
26069,30094
26068,30085
26061,30071
26052,30054
26055,30063
26052,30050
26059,30061
26057,30057
26065,30074
26065,30062
26072,30083
26071,30081
26070,30075
26071,30083
26066,30077
26074,30086
26072,30082
26074,30082
26065,30078
26068,30077
26063,30068
26066,30086
26075,30082
26068,30087
26078,30093
26076,30094
26073,30092
26076,30100
26079,30092
26074,30090
26074,30097
26070,30089
26075,30088
26076,30084
26071,30084
26066,30087
26076,30091
26083,30091
26075,30097
26081,30094
26076,30098
26075,30099
26085,30100
26077,30103
26086,30113
26084,30106
26083,30110
26084,30117
26085,30114
26085,30119
26087,30117
26082,30122
26088,30124
26088,30128
26090,30123
26086,30125
26090,30130
26087,30127
26087,30127
26095,30135
26093,30136
26093,30133
26092,30137
26093,30138
26093,30145
26095,30138
26093,30150
26097,30142
26097,30149
26098,30150
26095,30150
26101,30150
26098,30161
26098,30159
26099,30160
26098,30155
26091,30162
26101,30167
26106,30170
26107,30170
26109,30179
26111,30182
26106,30176
26107,30186
26114,30184
26112,30186
26113,30192
26111,30186
26111,30190
26110,30190
26107,30183
26106,30168
26097,30151
26087,30124
26079,30109
26067,30085
26073,30075
26067,30065
26063,30059
26066,30057
26067,30058
26069,30065
26070,30067
26074,30072
26072,30075
26074,30080
26078,30084
26077,30086
26081,30083
26067,30080
26074,30086
26078,30082
26076,30084
26076,30083
26075,30079
26077,30085
26076,30087
26078,30087
26077,30092
26082,30094
26083,30099
26085,30102
26086,30101
26082,30101
26089,30103
26086,30101
26087,30091
26084,30102
26078,30095
26082,30098
26085,30100
26083,30096
26087,30104
26081,30097
26091,30103
26084,30101
26089,30106
26094,30114
26089,30116
26094,30118
26091,30109
26090,30119
26089,30117
26085,30117
26094,30119
26093,30129
26096,30124
26094,30128
26091,30128
26095,30139
26102,30134
26096,30126
26101,30133
26099,30140
26098,30142
26103,30143
26098,30134
26099,30148
26106,30151
26103,30138
26103,30152
26105,30150
26102,30144
26103,30160
26105,30151
26104,30155
26106,30166
26113,30165
26110,30163
26108,30169
26107,30176
26109,30173
26116,30171
26113,30171
26108,30180
26118,30184
26119,30185
26110,30185
26121,30189
26111,30192
26119,30195
26122,30189
26122,30202
26120,30206
26129,30212
26123,30195
26117,30205
26120,30186
26107,30170
26101,30148
26090,30125
26081,30108
26079,30083
26072,30072
26073,30066
26073,30057
26062,30054
26072,30059
26067,30060
26074,30067
26077,30067
26076,30077
26081,30074
26076,30082
26085,30087
26081,30080
26082,30085
26080,30083
26080,30078
26077,30074
26078,30073
26076,30073
26080,30078
26085,30078
26077,30082
26086,30088
26080,30091
26082,30085
26083,30091
26085,30090
26081,30084
26089,30095
26085,30083
26076,30085
26083,30082
26078,30086
26085,30089
26082,30085
26078,30090
26084,30090
26079,30085
26080,30093
26084,30097
26088,30089
26084,30092
26086,30097
26092,30095
26082,30098
26091,30107
26090,30101
26089,30101
26086,30114
26090,30107
26093,30113
26089,30109
26095,30109
26084,30118
26092,30116
26090,30114
26094,30124
26096,30125
26094,30122
26096,30123
26093,30126
26098,30129
26100,30130
26095,30132
26097,30137
26099,30136
26103,30133
26098,30136
26097,30146
26102,30142
26102,30139
26101,30145
26101,30156
26108,30150
26107,30150
26110,30157
26113,30157
26105,30159
26110,30167
26112,30162
26113,30165
26114,30170
26116,30169
26116,30177
26114,30181
26116,30174
26118,30174
26107,30162
26098,30147
26091,30125
26092,30107
26082,30085
26067,30068
26069,30058
26064,30047
26067,30037
26061,30038
26068,30046
26067,30043
26069,30049
26068,30055
26069,30061
26078,30062
26079,30064
26070,30069
26085,30076
26077,30063
26077,30066
26078,30068
26076,30061
26078,30063
26073,30058
26081,30072
26083,30066
26079,30068
26081,30080
26086,30079
26083,30075
26076,30078
26081,30080
26088,30079
26080,30072
26081,30073
26081,30078
26084,30080
26086,30077
26079,30073
26077,30079
26083,30082
26082,30081
26085,30086
26086,30086
26087,30084
26086,30085
26086,30090
26086,30100
26091,30094
26093,30097
26090,30101
26086,30104
26098,30104
26093,30102
26093,30108
26094,30113
26097,30109
26089,30112
26094,30121
26098,30115
26100,30113
26097,30125
26097,30122
26098,30124
26102,30126
26101,30127
