RED,IR
74693,107162
74693,107162
74693,107162
74737,107162
74721,107208
74721,107208
74721,107208
74721,107208
74721,107208
74721,107208
74721,107208
74719,107173
74719,107173
74719,107173
74719,107173
74719,107173
74719,107173
74719,107173
74670,107188
74670,107188
74670,107188
74670,107188
74670,107188
74670,107188
74670,107188
74765,107188
74710,107180
74710,107180
74710,107180
74710,107180
74710,107180
74710,107180
74746,107223
74745,107249
74773,107192
74768,107194
74705,107172
74797,107202
74745,107252
74785,107208
74784,107232
74786,107207
74777,107252
74734,107205
74776,107135
74772,107207
74807,107217
74764,107266
74794,107217
74794,107238
74766,107216
74813,107236
74758,107280
74790,107214
74809,107201
74759,107236
74844,107234
74751,107280
74810,107209
74805,107246
74710,107180
74710,107180
74710,107180
74710,107180
74784,107235
74820,107211
74734,107240
74803,107233
74808,107261
74815,107241
74789,107222
74762,107268
74844,107233
74803,107253
74814,107249
74784,107187
74806,107279
74852,107226
74800,107273
74758,107259
74814,107204
74785,107288
74833,107234
74806,107285
74837,107257
74789,107281
74838,107228
74827,107184
74784,107251
74849,107264
74807,107279
74849,107231
74814,107221
74778,107292
74830,107245
74807,107270
74864,107244
74831,107231
74804,107297
74813,107211
74822,107250
74860,107218
74812,107289
74851,107252
74812,107285
74856,107236
74814,107225
74756,107251
74850,107230
74788,107281
74872,107243
74822,107264
74770,107274
74832,107221
74824,107280
74889,107251
74821,107269
74775,107269
74854,107232
74844,107284
74878,107244
74821,107289
74860,107265
74796,107265
74844,107237
74865,107188
74814,107277
74870,107259
74823,107257
74860,107204
74853,107254
74845,107274
74821,107296
74827,107235
74907,107230
74849,107259
74842,107259
74852,107193
74856,107284
74910,107221
74862,107284
74880,107267
74844,107249
74839,107243
74879,107200
74835,107285
74914,107242
74860,107294
74922,107246
74879,107269
74846,107274
74894,107227
74885,107306
74921,107236
74877,107295
74848,107268
74903,107242
74911,107299
74940,107228
74870,107259
74994,107314
74921,107325
74859,107266
74925,107261
74896,107281
74942,107280
74911,107337
74936,107256
74928,107290
74938,107260
74896,107265
74869,107270
74955,107259
74935,107286
74937,107264
74920,107260
74916,107294
74976,107269
74963,107294
74956,107290
74915,107314
74877,107273
74978,107239
74943,107306
74978,107293
74948,107310
74973,107261
74956,107285
74974,107277
74959,107276
74912,107275
75006,107268
74994,107314
74945,107274
74979,107305
74956,107246
75007,107299
74988,107317
74967,107304
74981,107247
74964,107309
75035,107284
74977,107317
75009,107315
74968,107315
75030,107281
75010,107306
74954,107266
75012,107268
74960,107331
75048,107288
75019,107310
75013,107293
74999,107256
75007,107354
75061,107296
75043,107305
74984,107343
75059,107306
75021,107328
75095,107282
75026,107328
75026,107337
75019,107254
75092,107320
75097,107278
75032,107320
75062,107289
75008,107292
75057,107328
75106,107311
75067,107360
75081,107327
75047,107279
75076,107350
75116,107305
75078,107377
75074,107313
75072,107271
75082,107325
75120,107314
75067,107378
75105,107332
75099,107356
75139,107304
75098,107349
75069,107347
75103,107277
75087,107368
75136,107306
75092,107384
75086,107323
75100,107283
75120,107384
75121,107315
75097,107378
75078,107351
75097,107332
75123,107294
75121,107345
75082,107346
75125,107286
75127,107360
75161,107316
75126,107374
75149,107353
75095,107361
75162,107325
75118,107321
75079,107345
75158,107336
75112,107391
75169,107319
75122,107342
75073,107363
75166,107345
75137,107376
75174,107325
75129,107338
75081,107354
75154,107336
75156,107402
75168,107332
75131,107368
75148,107351
75111,107360
75156,107326
75126,107295
75134,107349
75160,107357
75120,107324
75177,107332
75115,107329
75170,107339
75111,107371
75178,107312
75155,107346
75102,107357
75192,107331
75125,107377
75185,107324
75146,107334
75151,107341
75127,107370
75110,107327
75167,107274
75130,107348
75207,107334
75157,107406
75179,107326
75167,107341
75117,107307
75195,107331
75153,107377
75187,107322
75160,107310
75134,107353
75219,107347
75147,107375
75216,107337
75172,107341
75170,107312
75104,107341
75203,107341
75216,107337
75132,107315
75202,107318
75157,107381
75216,107335
75200,107358
75175,107324
75203,107318
75169,107373
75229,107336
75198,107361
75169,107337
75201,107322
75192,107390
75239,107339
75182,107351
75188,107348
75200,107299
75156,107360
75271,107307
75201,107381
75253,107371
75183,107383
75210,107342
75225,107343
75173,107334
75237,107333
75183,107391
75224,107350
75221,107363
75215,107339
75242,107374
75259,107326
75245,107381
75206,107345
75236,107329
75193,107408
75251,107343
75251,107401
75256,107356
75235,107436
75247,107355
75232,107403
75239,107356
75250,107300
75219,107420
75259,107347
75244,107394
75196,107342
75278,107353
75225,107428
75252,107367
75262,107381
75206,107363
75275,107381
75226,107437
75282,107368
75257,107388
75267,107374
75256,107416
75246,107381
75241,107379
75276,107373
75277,107396
75277,107409
75241,107416
75244,107373
75285,107331
75252,107440
75281,107399
75244,107393
75243,107388
75309,107361
75260,107447
75299,107402
75263,107417
75286,107380
75281,107336
75230,107429
75295,107386
75280,107437
75328,107378
75276,107441
75303,107403
75262,107421
75227,107386
75315,107357
75270,107444
75299,107403
75272,107372
75296,107406
75320,107381
75281,107433
75276,107401
75293,107376
75305,107391
75281,107430
75250,107421
75286,107343
75271,107417
75343,107377
75283,107474
75304,107405
75262,107414
75328,107400
75306,107353
75264,107423
75311,107413
75294,107444
75296,107395
75306,107348
75289,107466
75301,107421
75277,107424
75315,107382
75277,107355
75255,107434
75332,107385
75311,107435
75327,107379
75284,107455
75322,107412
75255,107415
75320,107381
75164,107376
75272,107397
75289,107455
75261,107404
75293,107409
75298,107442
75293,107390
75278,107436
75210,107386
75323,107366
75257,107426
75275,107383
75253,107428
75225,107368
75278,107332
75206,107377
75272,107369
75236,107430
75262,107373
75254,107379
75247,107347
75215,107338
75193,107389
75251,107353
75225,107379
75182,107321
75221,107356
75170,107400
75235,107341
75199,107362
75137,107364
75202,107336
75164,107376
75198,107321
75194,107335
75183,107347
75125,107332
75136,107339
75168,107305
75146,107281
75114,107347
75174,107322
75132,107348
75179,107285
75124,107248
75102,107339
75126,107306
75132,107327
75122,107284
75087,107242
75081,107315
75113,107289
75105,107318
75111,107268
75089,107324
75097,107296
75057,107294
75036,107273
75079,107209
75052,107336
75076,107269
75059,107299
75053,107256
75061,107209
75041,107310
75054,107239
75050,107275
75038,107232
75042,107321
75055,107267
75014,107263
74998,107236
75059,107194
75008,107299
75041,107254
75025,107291
75055,107218
75000,107263
75017,107266
74973,107266
74937,107222
75047,107185
74995,107283
74992,107248
74974,107240
74966,107227
75043,107207
74982,107275
74999,107222
74950,107209
74983,107220
75028,107202
74984,107279
74993,107199
74960,107242
75004,107191
74958,107202
74969,107258
74963,107189
74958,107234
74986,107164
74949,107253
74987,107217
74954,107238
74949,107152
75013,107169
74958,107255
74976,107195
74938,107220
74931,107177
75012,107164
74965,107261
74979,107196
74946,107226
74979,107184
74942,107207
74975,107207
74942,107181
74931,107185
75019,107174
74967,107247
74989,107194
74930,107222
74943,107175
75011,107154
74963,107229
74970,107196
74946,107197
74977,107195
74928,107160
74958,107191
74935,107161
74964,107162
74995,107170
74950,107216
74953,107195
74945,107159
74954,107191
74999,107154
74950,107226
74968,107189
74948,107211
74946,107184
74988,107169
74947,107244
74963,107183
74951,107212
74929,107183
75011,107153
74956,107227
74977,107169
74970,107192
74939,107169
74961,107124
74896,107199
74974,107160
74964,107207
74989,107154
74939,107205
74946,107175
74947,107180
74984,107185
74951,107151
74926,107202
74946,107181
74980,107159
74965,107176
74967,107155
74942,107218
74871,107163
74994,107128
74967,107193
74976,107159
74945,107205
74959,107144
74969,107162
74917,107121
74946,107138
74936,107200
74981,107143
74976,107173
74959,107125
74965,107117
74918,107198
74982,107138
74972,107163
74889,107127
74975,107168
74962,107174
74991,107133
74966,107177
74924,107151
74933,107165
74934,107165
74958,107166
74979,107117
75005,107173
74943,107186
74904,107142
75025,107129
74981,107171
74998,107182
74959,107193
74931,107149
75034,107119
74967,107192
74999,107184
74953,107190
74941,107155
75019,107118
74992,107220
75006,107172
74961,107181
75038,107153
74986,107170
74944,107193
75004,107133
74990,107199
75063,107135
75002,107180
75004,107189
74979,107109
75027,107206
75051,107147
74996,107183
74997,107195
74999,107205
75030,107197
75004,107142
74992,107178
75048,107199
75004,107212
75072,107171
75021,107182
75033,107190
74994,107194
74966,107150
75061,107128
75026,107207
75061,107196
75011,107198
75032,107168
75057,107126
75027,107211
75042,107204
75019,107203
74998,107158
75079,107136
75026,107230
75042,107188
75031,107203
75020,107159
75041,107119
74982,107207
75075,107182
75046,107221
75055,107137
75007,107158
75011,107199
74997,107151
75026,107168
75069,107160
75019,107219
75019,107187
75024,107110
75042,107213
75066,107156
75017,107220
74990,107173
75063,107148
75055,107177
75058,107155
75026,107227
75042,107159
75026,107185
75036,107145
75051,107118
75020,107190
75045,107146
75051,107198
75077,107126
75046,107131
75031,107200
75048,107164
75045,107177
74997,107145
75052,107142
75046,107221
75041,107241
75051,107159
75054,107174
75057,107187
75036,107164
75019,107111
75016,107170
75097,107126
75024,107226
75061,107182
75034,107207
75071,107159
75056,107143
75038,107185
75093,107178
75036,107182
75080,107157
75053,107109
75036,107228
75057,107169
75062,107176
75056,107164
75063,107129
75018,107202
75082,107156
75073,107210
75083,107135
75045,107210
75072,107172
75029,107175
75020,107159
75088,107133
75041,107241
75024,107181
75074,107161
75077,107183
75060,107176
75052,107162
75041,107199
75095,107173
75071,107196
75064,107159
75067,107141
75026,107203
75120,107166
75080,107204
75098,107178
75056,107229
75094,107177
75092,107180
75042,107168
75096,107143
75047,107217
75094,107171
75092,107187
75032,107175
75125,107191
75075,107224
75104,107169
75113,107177
75041,107199
75127,107198
75072,107231
75133,107179
75074,107197
75083,107208
75082,107224
75083,107199
75148,107190
75100,107190
75090,107193
75062,107220
75139,107197
75116,107216
75119,107199
75121,107180
75088,107235
75158,107185
75112,107215
75109,107201
75100,107161
75093,107207
75175,107192
75120,107221
75138,107218
75101,107251
75113,107205
75138,107201
75060,107201
75166,107216
75113,107267
75166,107223
75140,107233
75089,107207
75146,107187
75102,107259
75074,107206
75140,107204
75109,107170
75135,107197
75147,107207
75170,107201
75153,107250
75157,107237
75122,107235
75092,107225
75181,107186
75129,107232
75178,107225
75134,107268
75172,107221
75188,107252
75122,107218
75211,107224
75146,107280
75208,107227
75172,107219
75124,107237
75194,107243
75139,107266
75218,107206
75161,107213
75117,107249
75178,107187
75146,107271
75225,107231
75174,107257
75201,107242
75147,107247
75158,107239
75179,107223
75158,107269
75171,107262
75153,107275
75215,107217
75186,107250
75161,107249
75192,107211
75151,107292
75242,107215
75181,107245
75186,107256
75173,107205
75167,107246
75240,107223
75184,107280
75212,107250
75161,107278
75218,107228
75200,107264
75145,107254
75216,107216
75175,107282
75239,107238
75202,107250
75148,107266
75221,107230
75175,107280
75243,107252
75197,107241
75200,107237
75211,107253
75217,107230
75236,107245
75171,107262
75210,107228
75171,107267
75254,107242
75230,107270
75231,107225
75205,107303
75173,107233
75255,107189
75229,107288
75239,107266
75205,107276
75156,107250
75281,107220
75217,107275
75245,107265
75193,107268
75149,107241
75256,107176
75216,107275
75244,107253
75196,107281
75251,107232
75217,107251
75191,107226
75205,107194
75194,107264
75252,107212
75230,107216
75223,107249
75207,107235
75196,107243
75234,107251
75179,107209
75246,107228
75212,107267
75261,107224
75226,107254
75250,107198
75198,107262
75164,107230
75236,107178
75208,107208
75269,107240
75213,107283
75222,107217
75236,107244
75188,107219
75245,107230
75215,107270
75233,107211
75224,107224
75169,107195
75261,107220
75215,107263
75248,107201
75232,107224
75197,107206
75219,107169
75174,107216
75221,107209
75223,107229
75191,107242
75199,107231
75185,107200
75242,107185
75233,107150
75207,107249
75228,107216
75215,107224
75236,107180
75261,107154
75231,107273
75219,107190
75236,107220
75212,107185
