Listening on COM7 @ 460800...
Press Ctrl+C to stop

[AUDIO] seq=166 | pcg[0]=   -1605 pcg[31]=   -5653 | total=1 | crc_err=0
[BIO] seq=166 | ir[0]=     313 ecg[0]=  1600 | total=1 | crc_err=0
[AUDIO] seq=167 | pcg[0]=    1572 pcg[31]=   -5415 | total=2 | crc_err=0
[BIO] seq=167 | ir[0]=     441 ecg[0]=   982 | total=2 | crc_err=0
[AUDIO] seq=168 | pcg[0]=   -2006 pcg[31]=    7023 | total=3 | crc_err=0
[BIO] seq=168 | ir[0]=     486 ecg[0]=  3936 | total=3 | crc_err=0
[AUDIO] seq=169 | pcg[0]=     134 pcg[31]=    1419 | total=4 | crc_err=0
[BIO] seq=169 | ir[0]=     259 ecg[0]=     0 | total=4 | crc_err=0
[AUDIO] seq=170 | pcg[0]=   -3393 pcg[31]=     642 | total=5 | crc_err=0
[BIO] seq=170 | ir[0]=     200 ecg[0]=  3872 | total=5 | crc_err=0
[AUDIO] seq=171 | pcg[0]=   -4217 pcg[31]=   -4400 | total=6 | crc_err=0
[BIO] seq=171 | ir[0]=     290 ecg[0]=  1505 | total=6 | crc_err=0
[AUDIO] seq=172 | pcg[0]=    1738 pcg[31]=     943 | total=7 | crc_err=0
[BIO] seq=172 | ir[0]=     291 ecg[0]=  1080 | total=7 | crc_err=0
[AUDIO] seq=173 | pcg[0]=    5161 pcg[31]=    5149 | total=8 | crc_err=0
[BIO] seq=173 | ir[0]=     350 ecg[0]=  3936 | total=8 | crc_err=0
[AUDIO] seq=174 | pcg[0]=   -2350 pcg[31]=     757 | total=9 | crc_err=0
[BIO] seq=174 | ir[0]=     475 ecg[0]=     0 | total=9 | crc_err=0
[AUDIO] seq=175 | pcg[0]=   -5321 pcg[31]=    3478 | total=10 | crc_err=0
[BIO] seq=175 | ir[0]=     249 ecg[0]=  3888 | total=10 | crc_err=0
[AUDIO] seq=176 | pcg[0]=    1588 pcg[31]=    3339 | total=11 | crc_err=0
[BIO] seq=176 | ir[0]=     249 ecg[0]=  1380 | total=11 | crc_err=0
[AUDIO] seq=177 | pcg[0]=    -875 pcg[31]=   -1555 | total=12 | crc_err=0
[BIO] seq=177 | ir[0]=     295 ecg[0]=  1202 | total=12 | crc_err=0
[AUDIO] seq=178 | pcg[0]=   -2307 pcg[31]=   -8720 | total=13 | crc_err=0
[BIO] seq=178 | ir[0]=     316 ecg[0]=  3936 | total=13 | crc_err=0
[AUDIO] seq=179 | pcg[0]=   -3178 pcg[31]=     328 | total=14 | crc_err=0
[BIO] seq=179 | ir[0]=     431 ecg[0]=     0 | total=14 | crc_err=0
[AUDIO] seq=180 | pcg[0]=    1781 pcg[31]=    2735 | total=15 | crc_err=0
[BIO] seq=180 | ir[0]=     495 ecg[0]=  3888 | total=15 | crc_err=0
